물건번호,사건번호,물건종류,소재지,감정가,최저입찰가,낙찰가,입찰자수,면적,경매회차,지역,낙찰률,수집일시
SAMPLE-000001,2024타경93104,단독주택,기타 중구,500636849,500636849,500636849,4,83.88,1,기타,1.0,2026-02-02 20:53:01
SAMPLE-000002,2024타경21394,다세대,경기 남구,293250310,234600248,234600248,4,56.21,2,경기,0.8,2026-02-02 20:53:01
SAMPLE-000003,2024타경27159,오피스텔,인천 송파구,345685572,176991012,210337670,1,20.8,4,인천,0.6085,2026-02-02 20:53:01
SAMPLE-000004,2024타경65591,아파트,서울 남구,1044405083,835524067,895499569,7,74.29,2,서울,0.8574,2026-02-02 20:53:01
SAMPLE-000005,2024타경23986,상가,서울 송파구,2511901901,2511901901,2511901901,10,90.65,1,서울,1.0,2026-02-02 20:53:01
SAMPLE-000006,2024타경18110,아파트,인천 송파구,1027037869,525843389,664116017,2,111.62,4,인천,0.6466,2026-02-02 20:53:01
SAMPLE-000007,2024타경43827,아파트,부산 남구,312386427,312386427,312386427,8,68.17,1,부산,1.0,2026-02-02 20:53:01
SAMPLE-000008,2024타경31976,오피스텔,인천 강남구,591627603,591627603,591627603,7,57.46,1,인천,1.0,2026-02-02 20:53:01
SAMPLE-000009,2024타경44766,아파트,서울 송파구,726595514,465021129,501146415,1,129.98,3,서울,0.6897,2026-02-02 20:53:01
SAMPLE-000010,2024타경48623,아파트,경기 강남구,190083626,190083626,190083626,8,67.93,1,경기,1.0,2026-02-02 20:53:01
SAMPLE-000011,2024타경61663,아파트,서울 남구,345608077,141561068,205704899,2,93.84,5,서울,0.5952,2026-02-02 20:53:01
SAMPLE-000012,2024타경49384,오피스텔,경기 서초구,518800161,415040129,415040129,4,21.0,2,경기,0.8,2026-02-02 20:53:01
SAMPLE-000013,2024타경42711,다세대,서울 중구,520489231,416391384,416391384,7,103.55,2,서울,0.8,2026-02-02 20:53:01
SAMPLE-000014,2024타경96831,단독주택,경기 중구,470380557,192667876,238467707,1,114.61,5,경기,0.507,2026-02-02 20:53:01
SAMPLE-000015,2024타경83744,오피스텔,인천 중구,413072521,413072521,413072521,11,25.62,1,인천,1.0,2026-02-02 20:53:01
SAMPLE-000016,2024타경95314,단독주택,경기 서초구,398057066,254756522,258464583,3,109.51,3,경기,0.6493,2026-02-02 20:53:01
SAMPLE-000017,2024타경15801,아파트,경기 서초구,1031750191,1031750191,1031750191,8,142.3,1,경기,1.0,2026-02-02 20:53:01
SAMPLE-000018,2024타경97922,오피스텔,서울 중구,596980694,596980694,596980694,6,24.9,1,서울,1.0,2026-02-02 20:53:01
SAMPLE-000019,2024타경78027,다세대,서울 남구,465339095,372271276,372271276,3,33.23,2,서울,0.8,2026-02-02 20:53:01
SAMPLE-000020,2024타경83847,아파트,대구 송파구,309949761,247959809,247959809,3,146.18,2,대구,0.8,2026-02-02 20:53:01
SAMPLE-000021,2024타경39375,단독주택,부산 남구,313059342,313059342,313059342,6,46.59,1,부산,1.0,2026-02-02 20:53:01
SAMPLE-000022,2024타경88832,상가,경기 중구,684826656,438289059,438289059,1,90.52,3,경기,0.64,2026-02-02 20:53:01
