물건번호,사건번호,물건종류,소재지,감정가,최저입찰가,낙찰가,입찰자수,면적,경매회차,지역,낙찰률,수집일시,감정가_log,최저입찰가_log,최저가율,입찰자수_log,경쟁지수,면적_log,평당감정가,평당감정가_log,경매회차_제곱,회차페널티,지역_encoded,지역_경기,지역_기타,지역_대구,지역_부산,지역_서울,지역_인천,물건종류_encoded,물건종류_다세대,물건종류_단독주택,물건종류_상가,물건종류_아파트,물건종류_오피스텔,감정가x입찰자수,최저가율x입찰자수,면적x입찰자수,가격구간,가격구간_1억이하,가격구간_1-3억,가격구간_3-5억,가격구간_5-10억,가격구간_10억이상
SAMPLE-000001,2024타경93104,단독주택,기타 중구,500636849,500636849,500636849,4,83.88,1,기타,1.0,2026-02-02 20:53:01,20.031391545918744,20.031391545918744,1.0,1.6094379124341003,0.6036369123971931,4.441238494305727,19730541.82086176,16.797678390081654,1,1.0,1,False,True,False,False,False,False,1,False,True,False,False,False,32.23928099281355,4.0,7.147897610897377,5-10억,False,False,False,True,False
SAMPLE-000002,2024타경21394,다세대,경기 남구,293250310,234600248,234600248,4,56.21,2,경기,0.8,2026-02-02 20:53:01,19.496537106025855,19.27339355556416,0.8,1.6094379124341003,0.6036369123971931,4.046728708280438,17246442.134792637,16.66311648509603,4,0.9,0,True,False,False,False,False,False,0,True,False,False,False,False,31.378465979616227,3.2,6.5129586044420105,1-3억,False,True,False,False,False
SAMPLE-000003,2024타경27159,오피스텔,인천 송파구,345685572,176991012,210337670,1,20.8,4,인천,0.6084652847472616,2026-02-02 20:53:01,19.66104017130479,18.99160951523776,0.5119999975006189,0.6931471805599453,0.15090922809929827,3.0819099697950434,54940491.41767324,17.82176120141747,16,0.7,5,False,False,False,False,False,True,4,False,False,False,False,True,13.62799456161574,0.5119999975006189,2.1362172063030203,3-5억,False,False,True,False,False
SAMPLE-000004,2024타경65591,아파트,서울 남구,1044405083,835524067,895499569,7,74.29,2,서울,0.8574255177193542,2026-02-02 20:53:01,20.766713262644117,20.54356971228739,0.8000000005744897,2.0794415416798357,1.0563645966950879,4.321347323862031,46474340.91771247,17.65441093155141,4,0.9,4,False,False,False,False,True,False,3,False,False,False,True,False,43.18316624249577,5.600000004021428,8.985989141265694,10억이상,False,False,False,False,True
SAMPLE-000005,2024타경23986,상가,서울 송파구,2511901901,2511901901,2511901901,10,90.65,1,서울,1.0,2026-02-02 20:53:01,21.64430603303823,21.64430603303823,1.0,2.3978952727983707,1.5090922809929828,4.517976974285714,91602955.73292975,18.332974107867187,1,1.0,4,False,False,False,False,True,False,2,False,False,True,False,False,51.90077911962363,10.0,10.8336356292516,10억이상,False,False,False,False,True
SAMPLE-000006,2024타경18110,아파트,인천 송파구,1027037869,525843389,664116017,2,111.62,4,인천,0.6466324534329317,2026-02-02 20:53:01,20.74994464160442,20.080513988726747,0.5120000000701045,1.0986122886681098,0.30181845619859654,4.724019319826472,30417187.86141291,17.23051842965785,16,0.7,5,False,False,False,False,False,True,3,False,False,False,True,False,22.796144172449612,1.024000000140209,5.189865676666928,10억이상,False,False,False,False,True
SAMPLE-000007,2024타경43827,아파트,부산 남구,312386427,312386427,312386427,8,68.17,1,부산,1.0,2026-02-02 20:53:01,19.559751530683897,19.559751530683897,1.0,2.1972245773362196,1.2072738247943862,4.236567242612494,15148634.345104668,16.53342100963183,1,1.0,3,False,False,False,True,False,False,3,False,False,False,True,False,42.9771667898084,8.0,9.308689669005709,3-5억,False,False,True,False,False
SAMPLE-000008,2024타경31976,오피스텔,인천 강남구,591627603,591627603,591627603,7,57.46,1,인천,1.0,2026-02-02 20:53:01,20.19838794761772,20.19838794761772,1.0,2.0794415416798357,1.0563645966950879,4.0683427596831,34037482.22982283,17.34297292326694,1,1.0,5,False,False,False,False,False,True,4,False,False,False,False,True,42.00136697324161,7.0,8.459880940277422,5-10억,False,False,False,True,False
SAMPLE-000009,2024타경44766,아파트,서울 송파구,726595514,465021129,501146415,1,129.98,3,서울,0.6897185646538412,2026-02-02 20:53:01,20.403880505147683,19.95759340337944,0.6400000000550513,0.6931471805599453,0.15090922809929827,4.875044639789907,18479524.860150132,16.732173966930386,9,0.8,4,False,False,False,False,True,False,3,False,False,False,True,False,14.142892244625148,0.6400000000550513,3.379123447174248,5-10억,False,False,False,True,False
SAMPLE-000010,2024타경48623,아파트,경기 강남구,190083626,190083626,190083626,8,67.93,1,경기,1.0,2026-02-02 20:53:01,19.0629746753959,19.0629746753959,1.0,2.1972245773362196,1.2072738247943862,4.23309149689756,9250340.39659202,16.040171016547212,1,1.0,0,True,False,False,False,False,False,3,False,False,False,True,False,41.88563647391781,8.0,9.301052675096287,1-3억,False,True,False,False,False
